FECHA,DISTRITO,TEMPERATURA,PRECIPITACION,VIENTO,CÓDIGO,DIRECCION,Codigo Postal
2024-03-06,102,5.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-07,102,4.9,5.6,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-08,102,3.1,6.8,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-09,102,2.4,6.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-10,102,4.4,3.1,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-11,102,6.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-12,102,7.6,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-13,102,9.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-14,102,9.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-15,102,9.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-16,102,10.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-17,102,13.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-18,102,13.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-19,102,15.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-20,102,14.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-21,102,14.8,0.3,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-22,102,15.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-23,102,15.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-24,102,13.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-25,102,8.9,2.9,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-26,102,3.7,1.4,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-27,102,5.6,0.9,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-28,102,7.4,12.6,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-29,102,4.2,6.9,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-30,102,3.8,6.9,False,28079102,"C/ Fuente Carantona, 8",28025
2024-03-31,102,3.1,7.6,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-01,102,4.5,1.1,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-02,102,6.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-03,102,9.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-04,102,11.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-05,102,13.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-06,102,16.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-07,102,14.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-08,102,10.4,0.7,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-09,102,7.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-10,102,10.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-11,102,15.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-12,102,15.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-13,102,17.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-14,102,17.6,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-15,102,17.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-16,102,15.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-17,102,11.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-18,102,11.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-19,102,10.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-20,102,14.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-21,102,13.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-22,102,9.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-23,102,6.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-24,102,8.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-25,102,10.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-26,102,10.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-27,102,7.7,8.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-28,102,9.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-29,102,9.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-04-30,102,10.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-01,102,7.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-02,102,7.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-03,102,10.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-04,102,13.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-05,102,12.9,2.8,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-06,102,12.3,0.5,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-07,102,12.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-08,102,13.6,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-09,102,16.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-10,102,18.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-11,102,18.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-12,102,18.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-13,102,18.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-14,102,12.2,0.7,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-15,102,10.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-16,102,10.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-17,102,11.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-18,102,13.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-19,102,13.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-20,102,12.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
